Numéroatomique,Nom,Symbolechimique,Masseatomique,Massevolumique,Pointdefusion,Pointébullition,Datededécouverte,Découvreurs
118,Oganesson,Og,,,,,2006,Oganessian Laboratoire national de Lawrence LivermoreetInstitut unifié de recherches nucléaires
117,Tennesse,Ts,,,,,2010,Oganessian Flerov Laboratory of Nuclear Reactions (FLNR)de l'Institut unifié de recherches nucléaires
116,Livermorium,Lv,,,,,2004,Oganessian Institut unifié de recherches nucléaires
115,Moscovium,Mc,,,,,2010,Oganessian Laboratoire national de Lawrence LivermoreetInstitut unifié de recherches nucléaires
114,Flérovium,Fl,,,,,2004,Oganessian Institut unifié de recherches nucléaires
113,Nihonium,Nh,286,16,430,1130,2004,Morita RIKEN
112,Copernicium,Cn,277,,,,1996,Hofmann Centre de recherche sur les ions lourds
111,Roentgenium,Rg,272,,,,1994,Hofman Centre de recherche sur les ions lourds
110,Darmstadtium,Ds,269,,,,1994,Hofmann Centre de recherche sur les ions lourds
109,Meitnérium,Mt,266,,,,1982,Munzenberg Centre de recherche sur les ions lourds
108,Hassium,Hs,265,,,,1984,Munzenberg Centre de recherche sur les ions lourds
107,Bohrium,Bh,262.1229,,,,1976/81,Oganessian ou Munzenberg
106,Seaborgium,Sg,263.1182,,,,1974,Oganessian ou Ghiorso
105,Dubnium,Db,262.1138,,,,1967/70,Flerow ou Ghiorso
104,Rutherfordium,Rf,261.1087,,,,1964/69,Flerow ou Ghiorso
103,Lawrencium,Lr,260.1053,,1627,,1961/71,Flerow ou Ghiorso
102,Nobélium,No,259.1009,,827,,1958/66,Flerow ou Seaborg
101,Mendélévium,Md,258.0986,,,,1955,Seaborg
100,Fermium,Fm,257.0951,,1527,,1952,Seaborg
99,Einsteinium,Es,252.0829,,860,,1952,Seaborg
98,Californium,Cf,251.0796,15.1,900,,1950,Seaborg
97,Berkélium,Bk,247.0703,13.25,986,,1949,Seaborg
96,Curium,Cm,247.0703,13.51,1340,,1944,Seaborg
95,Américium,Am,243.0614,13.67,994,2607,1944,Seaborg
94,Plutonium,Pu,244.0642,19.74,641,3327,1940,Seaborg
93,Neptunium,Np,237.0482,20.48,640,3902,1940,McMillan et Abelson
