Numéroatomique,Symbolechimique,Nom,Famille,Configurationelectronique
1,H,Hydrogène,Non-métal,1s1
2,He,Hélium,Gaz noble,1s2
3,Li,Lithium,Métal alcalin,[He] 2s1
4,Be,Béryllium,Métal alcalino-terreux,[He] 2s2
5,B,Bore,Métalloïde,[He] 2s2 2p1
6,C,Carbone,Non-métal,[He] 2s2 2p2
7,N,Azote,Non-métal,[He] 2s2 2p3
8,O,Oxygène,Non-métal,[He] 2s2 2p4
9,F,Fluor,Halogène,[He] 2s2 2p5
10,Ne,Néon,Gaz noble,[He] 2s2 2p6
11,Na,Sodium,Métal alcalin,[Ne] 3s1
12,Mg,Magnésium,Métal alcalino-terreux,[Ne] 3s2
13,Al,Aluminium,Métal pauvre,[Ne] 3s2 3p1
14,Si,Silicium,Métalloïde,[Ne] 3s2 3p2
15,P,Phosphore,Non-métal,[Ne] 3s2 3p3
16,S,Soufre,Non-métal,[Ne] 3s2 3p4
17,Cl,Chlore,Halogène,[Ne] 3s2 3p5
18,Ar,Argon,Gaz noble,[Ne] 3s2 3p6
19,K,Potassium,Métal alcalin,[Ar] 4s1
20,Ca,Calcium,Métal alcalino-terreux,[Ar] 4s2
21,Sc,Scandium,Métal de transition,[Ar] 4s2 3d1
22,Ti,Titane,Métal de transition,[Ar] 4s2 3d2
23,V,Vanadium,Métal de transition,[Ar] 4s2 3d3
24,Cr,Chrome,Métal de transition,[Ar] 4s1 3d5
25,Mn,Manganèse,Métal de transition,[Ar] 4s2 3d5
26,Fe,Fer,Métal de transition,[Ar] 4s2 3d6
27,Co,Cobalt,Métal de transition,[Ar] 4s2 3d7
28,Ni,Nickel,Métal de transition,[Ar] 4s2 3d8 ou 4s1 3d9b
29,Cu,Cuivre,Métal de transition,[Ar] 4s1 3d10
30,Zn,Zinc,Métal pauvre,[Ar] 4s2 3d10
31,Ga,Gallium,Métal pauvre,[Ar] 4s2 3d10 4p1
32,Ge,Germanium,Métalloïde,[Ar] 4s2 3d10 4p2
33,As,Arsenic,Métalloïde,[Ar] 4s2 3d10 4p3
34,Se,Sélénium,Non-métal,[Ar] 4s2 3d10 4p4
35,Br,Brome,Halogène,[Ar] 4s2 3d10 4p5
